0ad 0.0.18
riecoin 0.10.2
Ripple 2.0.0.108
rktools.2003 5.2.121102
rmprepusb 2.1.722
RoboForm 7.9.10.0
RoboMongo 0.8.4.20140317
RobotoFonts 4.0.0.1
rockbox 1.4.0
RocketDock 1.3.5
rollbackrx 10.2
rootbeer 1.0.45
roundhouse 0.8.6
roundhouse.dev 1.0
royalserver 1.0.1.10309
RoyalTS 3.0.1.60226
RSAT 1.0.3
RSAT.FeaturePack 1.0.1
RSSOwl 2.2.1.20141214
rsync 5.4.1.1
RTMPDump 2.3
ruby 2.1.6
ruby.devkit 4.5.2.20120101
ruby.devkit.ruby193 4.5.2
ruby.portable 2.1.6
ruby1.9 1.9.3.54500
ruby2.devkit 4.7.2.2013022402
rubygems 2.4.1.0
RubyMine 6.3.2
rufus 2.2
rufus.install 2.2
rufus.portable 2.2
rukerneltool 0.6.4.10
Run00.TeamCityChocolatey 0.0.0.12
Run00.TeamCityVersioning 0.0.0.4
Runescape 29.11.13
runscope.fiddlerextension 1.0.8
rust 0.12.0
rvtools 3.6.4
SABnzbd 0.7.5
SafeMonk 1.0.3
saltminion 2015.5.3
Sample 2.0.0
sandboxie 4.20
sandboxie.install 4.20
sanerpersonal 1.1
SapiClient 1.0.4
saram.tools 0.2
sass 3.2.10.3
sastarterkitvs2010 1.0.0.1
sastarterkitvs2012 1.0.0.1
sauerbraten 2013.02.03
SaxonHE 9.4.0.8
sbt 0.13.7
scala 2.11.4
scala.install 2.11.4
scala.portable 2.11.4
scalaide 3.0.3.2
scanpdf 14.8.0.1
scansnapmanager 5.1.30
scantailor 0.9.11.1
SCCMCliCtr 1.0.2.0
SciLab 5.3.2.001
scite 3.5.4
scite4autohotkey 3.0.06.20150704
scite4autoit3 3.4.4
Screamer 0.9
screenhero 0.14
screenpresso 1.5.2
screenshotcaptor 4.8.5
screentogif 1.4.1
scribus 1.4.5
ScriptCs 0.15.0
scummvm 1.7.0
scut 1.1
sdformatter 4.0
sdir 1.21.0.0
seafile-client 4.4.2
SearchQueryTool 1.0.0.20121122
seatools 1.2.0.8
secondstrategy.baseline.utilities 2013.10.10
secret-maryo-chronicles 1.9
Secunia.PSI 3.0.0.9016
securepointsslvpn 1.0.3.1
seek-dsc 1.0.10
seek-dsc-appfabric-hosting 1.0.10
seek-dsc-database 1.0.10
seek-dsc-harddisk 1.0.10
seek-dsc-messagequeue 1.0.10
seek-dsc-networking 1.0.10
seek-dsc-nservicebus 1.0.10
seek-dsc-software 1.0.10
seek-dsc-topshelf 1.0.10
seek-dsc-webadministration 1.0.10
SeleniumChromeDriver2 0.9
SeleniumGridInABox.Node 1.9.1.5
SeleniumHub 2.43.1.2
SeleniumIEDriver 2.33.0.1
SeleniumServer 2.33.0.1
SelfSSL7 1.0.1
SemanticMerge 0.9.17.0
semanticreleasenotes-parser 0.1.0
sendmessage 1.1.2
sendtokindle 1.0.1.240
ServiceControl.install 1.6.3.20151029
ServiceInsight.install 1.4.1
ServiceMatrix.VS2012.install 2.2.3
ServiceMatrix.VS2013.install 2.2.3
ServicePulse.install 1.1.1
setacl 3.6.0
setaffinity2 1.041.20140616
SettingsManager 0.0.1
Setup-Assistant 1.9.0.34979
shairport4w 1.0.8.3
shareaza 2.7.8.0
sharepoint.2010.sdk 12.0.0.1
SharePoint.HiveShortcut.Desktop 1.0.0.0
SharePoint.HiveShortcut.Explorer 1.0.0.0
SharePointDesigner2010x32 14.0.4730.1010
SharePointDesigner2010x64 14.0.4730.1010
SharePointDesigner2013x32 15.0.4420.1017
SharePointDesigner2013x64 15.0.4420.1017
SharePointLogViewer 2.6.0.0
SharePointManager2007 0.9.9.0206
SharePointManager2010 0.9.11.0206
SharePointManager2013 1.0.12.1106
sharex 10.4.0
sharpdevelop 4.4.1
sharpkeys 3.5.0
shazzam 1.3
ShellTools 1.0.0.13
shexview 1.95
shexview.install 1.95
shexview.portable 1.96
shmnview 1.25
Shotcut 15.02.01
Shotty 2.0.2
ShrewSoftVpn 2.2.2.0
shutdownguard 1.0.0.20150211
SickBeard 2012.11.04.1
sidesync 4.0.2.309
Sigil 0.8.7
Silverlight 5.0.2
Silverlight3SDK 3.0
Silverlight4SDK 4.0.50826.0
Silverlight5DeveloperRuntime 5.1.10411.20121024
Silverlight5SDK 5.0.61118.20121024
SilverlightSDK 4.0.50826.0
simnetsa-adobereader-fr 11.0.7
simplesystemtweaker 2.0.0.20141201
simply-weather 0.2.2
simutrans 0.120.0.1
simutrans-pak128 2.5.2
simutrans-pak64 0.120.0.1
sipfw 1.0.3.4
sitecore-courier 1.0.0
siteshoter 1.42
SketchUpPro.install 2013.1
skifree 1.04.0
skillpipereader 1.0.1
skitch 2.3.1.168
sktimestamp 1.3.4.1
SkyDrive 16.4.20140630
skyfonts 3.0.0.1
skylight 1.0.1
skype 7.15.0.102
skype-utility-project 1.4.0
slack 1.0.0
slic3r 1.2.9
Slickrun 4.2.5.4
slik.svn 1.8.0
sliksvn 1.8.5.20140421
slpolicy 1.0.5.0
smartftp 7.0.2170.0
SmartGit 6.5.6
smartgit-with-jre 6.5.6
smartmontools 6.3.1
sming.core 0.0.4
smlnj 110.77
smplayer 14.9.0
smplayer2 0.7.3
smtp4dev 2.0.9.1
snagit 12.4.1
snaketail 1.8.2
snaketail.portable 1.8.2
snaplr 0.1
snarl 0.3.1.0
snes9x 1.53.0.20150220
Snipe 1.0.2.0
SnippingToolPlusPlus 6.4.5
snoop 2.8.0
socialsafe 6.6.8.20140816
softerraldapbrowser 4.5.10625.0
SoftwareCreations.devbox 0.04
SoftwareCreations.devset 0.10
softwareinformer 1.4.1213
Sogeti.WindowsAzure.Plugins.Endpoint.ACL 1.0.0
solfege 3.22.2.1
Sonar-runner 3.2
songr 2.0.2270
sonyvegaspro 13.0.428
sopcast 3.9.3
sortprojectitems 1.0.0
SourceCodePro 2.010.0
sourceinsight 3.5.0072.20140224
SourceLink 1.1.0
SourcePreviewHandler 1.0.4.1
SourceTree 1.6.14
sox.portable 14.4.1
SP2013PreReqs 1.0.0.0
spacesniffer 1.2.0.2
Spark 2.6.3
sparkcore-build 0.3
sparkleshare 1.4
spawner 0.2.3
SPCAF 4.5.2.7629
speccy 1.28.709
specflow 1.8.1
spectcl 0.1.2
SpeedCrunch 0.10.1
speedfan 4.51
spek 0.8.2
speq 3.4
spf13-vim 3.0.2
SPH 2.1.1
spiceworks 7.2.00528
spideroak 5.1.8.20140925
splayer 3.7
splunk 5.0.3
splunkforwarder 6.2.3
spotify 0.9.8.296
SPSF 4.1.3.2705
spybot 2.4.40.20141130
spystudio 2.9.1.0
sql2005-nativeclient 9.0.4350.0
sql2005-xmo 9.0.4350.0
SQL2008.ClrTypes 10.00.2531.00
SQL2008.CmdLine 10.00.2531.00
SQL2008.NativeClient 10.00.2531.00
SQL2008.Powershell 10.00.2531.00
SQL2008.SMO 10.00.2531.01
SQL2008R2.ClrTypes 10.50.1600.1
SQL2008R2.CmdLine 10.50.1600.1
SQL2008R2.NativeClient 10.50.1600.2
SQL2008R2.PowerShell 10.50.1600.1
SQL2008R2.SMO 10.50.1600.1
SQL2012.ClrTypes 2011.110.3000.00
SQL2012.CmdLine 11.0.2270.0
SQL2012.DACFramework 11.1.2861.0
SQL2012.LocalDB 11.0.2100.61
SQL2012.NativeClient 2011.110.3000.1
SQL2012.PowerShell 11.0.2100.61
SQL2012.SMO 11.0.2100.60
SQL2012.SQLDom 11.1.2825.1
SQL2014.ClrTypes 12.0.2000.8
SQL2014.SMO 12.0.2000.8
sqlbpa.2008 8.0.0.1
sqlbpa.2012 12.0.0.1
sqlbulksync 1.0.2
sqldiagmanager 10.5.1.202
sqlio 1.0
SQLite 3.9.2
sqlite.analyzer 3.9.2
sqlite.shell 3.9.2
sqliteadmin 0.8.3.201
sqlitebrowser 3.5.1
SQLiteCredit 1.0
sqliteexpert.install 3.5.33
SQLitePSProvider 1.0.0.1
sqljdbc 4.0.2206.100
SqlKerberosConfigMgr 3.0.0
SQLMaintenanceSolution 0.6
sqlnexus 3.0.0.1
SQLPSX 2.3.2.1
SQLSentryPlanExplorer 2.6
SqlServer2008R2Express 10.50.4000.1
sqlserver2008r2express-engine 10.50.4000.1
sqlserver2008r2express-managementstudio 10.50.4000.1
SqlServer2012Express 1.0.1
sqlserver2012express-engine 11.0.2100.60
sqlserver2012express-managementstudio 11.0.2100.60
SqlServer2014Express 1.0.1
SqlServerDataTools.2012 11.1.31203.1
sqlserverdatatools2012 11.1.50226
SqlServerExpress 10.0.0.20130503
SqlServerLocalDb 11.0.2318.0
SqlToolbelt 1.8.2.403
sqlyog 12.09
sre 1.3.1.12
SRWareIron 46.0.2450.0
SSDT11 11.1.21208.0
ssdtbi.vs2012 11.0.3369.0
ssu_gnumeric 1.10.16
start8 1.31
startisback 2.1.2
startisbackplus 1.6.2
startmenu8 1.6.0.20141130
startmenureviver 2.5.0.18
startuptaskmgr 1.0.0
StarUML 5.0
staruml2 2.1.0
stduviewer 1.6.294
steam 1.0.0.5
stellarium 0.14.0
stexbar 1.8.6
Stickies 8.0
StraceNT 0.8
StrawberryPerl 5.20.1.1
stremio 3.3.3
string-replicator 1.0.0.0
Strings 2.2.0.1
stubby 1.0.0.3
stunnel 5.17
stunnel.beta 5.001.0.20131224
stylecop 4.7
sublime 2.0.2
sublimetext2 2.0.2.2221
SublimeText2.app 2.0.1.22171
SublimeText2.PackageControl 1.6.3
SublimeText2.PowershellAlias 0.1.0
SublimeText3 3.0.0.3083
SublimeText3.app 3.0.0.3065
SublimeText3.PackageControl 2.0.0.20140915
SublimeText3.PowershellAlias 0.1.0
sublimetext3-contextmenu 1.0
subtitleedit 3.4.4
subtitleworkshop 6.0.131121
subtitleworkshop.install 6.0.131121
subtitleworkshop.portable 6.0.131121
Sudo 1.0.2
sugarsync 1.9.71.1
sumatrapdf 3.0
sumatrapdf.commandline 3.0
sumatrapdf.install 3.0
SummerFun 1.0.1
sumo 4.2.1.293
sumologic 1.0
sundance 4.5.0.2
superantispyware 6.0.1204
SuperBenchmarker 0.4.10
SuperCopier 4.0.1.005
superputty 1.4.0.6
supertuxkart 0.9
supraball 0.2.10.1
suricata 2.0.2.20140625
suwatchapp 0.1.0.0
svg-explorer-extension 0.1.1
svn 1.8.13
sweet-home-3d 5.0
swftools 0.9.0
SwiffChartGenerator 3.0.0.0
swig 3.0.2
SWI-Prolog 6.2.6.001
swish 0.8.0
SwissFileKnife 1.6.9
switcheroo 0.8.3.60
switcheroo.install 0.8.3.60
switcheroo.portable 0.8.3.60
swtor 1.0.0.2
sylpheed 3.4.2.20140629
sylpheed.portable 3.4.2.20140630
SymbolSource.DemoApplication 1.0.0.0
SymbolSource.Integration.NuGet.CommandLine 1.3.4
syncback 6.5.4
syncbackpro 6.5.4.0
syncthing 0.10.27
syncthing-gtk 0.8
synctoday 15.03.27.2152
synergy 1.5.0.20140818
synkron 1.6.2.20140909
synth 1.0.3
sysinternals 2015.10.26
system-monitor 1.2.1
systemninja 3.0.4
systraymeter 0.2.0.6
tablacus 14.12.30
tabspace 1.1.2
TagainiJisho 1.0.1
tagscanner 5.1.668
TaskCoach 1.4.2
tbb 4.1.3
tbox 1.33.0.1
tcc 13.0.3
TCPOptimizer 3.0.8
tcptrace 0.8.1.717
tcptunnel 0.8
TcpView 3.05
tdesktop 0.7.20.20150319
tdict 1.1
TeamCityAddin 10.0.1.0
TeamCityAgent 1.1.0
TeamCityAgent.Temp 0.1
teamspeak 3.0.16.20150108
Teamspeak3 3.0.9.2
teamviewer 10.0.43174
teamviewer.host 9.0.24951
teamviewer7 7.0.17271
teamviewer8 8.0.26038
techsmithsnagit 12.3.1
telegram 0.8.13
telegram.install 0.8.13
telegram.portable 0.8.13
TelerikControlPanel 2014.3.1017
TempFileCleaner 4.3.0.0
TempFileCleaner.app 4.3.0.0
TempFileCleaner.tool 4.3.0.0
TeraCopy 2.27
terapad 1.09
teraterm 4.84
terminals 3.5.0.001
Terminals.app 3.3.0.24477
termite 3.0.0.20131219
terraform 0.5.3
testdisk 6.14.20131012
testdisk-photorec 7.0
TestDriven.Net 3.5.2830
TestOneGetCS 1.5
texmaker 4.5
texniccenter 2.0.0.20130827
texstudio 2.8.8.20141204
Texts 1.0
tfpt 11.0.0.1
tfs2010objectmodel 10.0.0.0
tfs2012objectmodel 11.0.61030.0
tfs2012powertools 11.0.60507.0
tfs2013objectmodel 12.0.31101.0
tfs2013powertools 12.1.00402.0
TfsDeployer 1.4.0.54837
TfsDropDownloader 1.1.0.3
tfsexpress.build 1.0.0.4
tfsexpress.standard 1.0.0.4
TFSPowerTools2012 11.0.60507.1
tfsSidekicks 2.4.0
tfsSidekicks2010 3.1.1
tfsSidekicks2012 4.5
tfsSidekicks2013 5.0
TheBat 6.8.8
thebrain 8.0.2.100
thebrain.install 8.0.2.100
thegiant.cleanup 1.0.20131022
thegiant.fonts 1.1
thegiant.freshinstall 1.2
thegiant.tools 1.3
therenamer 7.69
Thoughtworks.Go.Agent 14.2.0.0
Thoughtworks.Go.Server 14.2.0.0
thrift 0.9.1
thumbsremover 1.6.1.280
thunderbird 38.4.0
tiggit 0.91.20141129
tightvnc 2.7.10.20140503
tiled 0.14.1
TimberWinR 1.4.17.0
time.txt.install 2.2.1
time4popcorn 0.5.0
TimRayburn.GitAliases 1.2.0
tinycad 2.80.06.6260
tinycc 0.9.26
tinytask 1.50.20141130
tipp10 2.1.0.20130528
TIS.WFCom 0.0.1.4
titanium-studio 3.1.31
tixati 2.25.1
toad.mysql 6.3.0.642
toastify 1.7.3
todoist 2.6.4.0
toggl 7.1.145
Tom 2.10.0.001
tomahawk 0.8.2.0
tomboy 1.14.0
Tomcat 8.0.23
tome 1.2.5
tomighty 0.7.1.1
toolsroot 0.1.0
tor-browser 5.0.4
torrid 2.1.0
TortoiseGit 1.8.16.0
TortoiseGit.latest 1.7.15
tortoisehg 3.6.1
tortoisemerge 1.6.7
tortoisesvn 1.9.2
totalcmd 0.1.0.20120702
TotalCommander 8.01
totalcommanderpowerpack 2.0
ToTypeScriptD 0.1.5081.42854
trafficwatcher 2.0.1
transgui 5.0.1.20140410
transmission-qt 2.84
treesizefree 3.0.1
treesizefree.portable 3.0.1.200
treetrim 1.0.3
tribler 6.4.3
trillian 5.6.0.5
truecrypt 7.1.20140621
truecrypt-langfiles 7.1.1
tsprint 2.0.0.8
tsqlflex 0.0.10
tsunami 1.2.3278
tuneuputilities 14.0.1000.881
Tunnelier 4.60.0
turbo 1.0.0.20151117
turtlemine 1.2.0.1
tuxguitar 1.2.0.1
tv-browser 3.4.1.0
tweetdeck 1.3
tweetz-desktop 0.8.23
TypeMockIsolator.NET 7.5.2.0
typescript 1.6.0
typescript.vs 1.0.1
UAdevelopers.utils 1.9
ubuntu.font 0.80
uccapisdk 2.0.6362
UCMA4 5.0.8308.0
ulsviewer 16.0.3129.1000
ultradefrag 6.1.1
ultraiso 9.6.5.3237
ultramon 3.3.0
ultrasearch 1.8.1
ultrasearch.portable 1.8.1
ultravnc 1.2060
ums 5.3.1
unchecky 0.4.1
underscore 1.0.0
unetbootin 6.0.8
unfreez 2.1.0.1
ungit 0.8.4
unicornify 0.0.0.1
unifiedremote 3.0.7.55500
UniHex 2.4.1
unity 5.0.1
unity4 4.6.0
unitywebplayer 4.6.0
universal-extractor 1.6.1
universal-usb-installer 1.9.6.2
unrar 5.21
unxUtils 1.0.0.0
upackx 0.0.0.1
updatetransfer 1.0.0.0
Upm 1.12
upx 3.09
UrlRewrite 2.0.2
usagestats 1.4.1.20140104
usbit 1.70
usbview 2.0.1.1
usialtgr 1.4.0.20150203
ussf 1.5.0
util-linux-ng-getopt 2.14.1
util-linux-ng-libintl3 2.14.1
ut-launcher 0.3.6
UWS 2.0.21
vagrant 1.7.4
vagrant_plugins 1.0.0.1
vagrant-manager 1.0.0.3
vagrant-winrm-config 0.0.1
ValgrindParseTools 1.1.0
vb5runtime 5.0
VBoxGuestAdditions.install 4.3.18
VBoxHeadlessTray 4.3.0.0
VBoxVmService 4.1.2.1
VCExpress2010 0.1.0.20140915
vcredist2005 8.1.0.0
vcredist2008 9.0.30729.1
vcredist2010 10.0.40219.1
vcredist2012 11.0.61030
vcredist2013 12.0.30501.20150616
velocity 1.0.5
veracity 2.5.0.11065
VerizonMessagePlus 1.0.0.1
vet 1.4
viber 3.1.1.60
vidcoder 1.5.31
vifm 0.7.7
vim 7.4.827
vim-dwiw2015 0.4
viper4windows 1.0.5
virtualbox 5.0.10.104061
VirtualBox.ExtensionPack 5.0.0.101573
VirtualCloneDrive 5.4.7.0
virtualdub 1.10.4.35491
VirtualEngine-Compression 1.1.0.18
virtuawin 4.4
virustotaluploader 2.2.20150420
visionapp 2012.8.2014022801
visioviewer 15.0
visioviewer2010 14.0
visioviewer2013 15.0
VisualBoyAdvance 1.2.0.20140927
VisualCPlusPlusExpress2008 9.0.20140916
VisualCSharpExpress2008 9.0.20140916
visualfsharptools 3.1.2
VisualHG 1.1.6.0
visualleakdetector 2.3
VisualStudio14 0.4.0.1
VisualStudio2012Achievements 3.0
VisualStudio2012Premium 11.0.1
VisualStudio2012PremWithWebTools 11.0.1
VisualStudio2012Professional 11.0.1
VisualStudio2012ProfessionalWebTools 11.0.1
VisualStudio2012Ultimate 11.0.1
VisualStudio2012WDX 11.0
VisualStudio2013ExpressWeb 12.0.21005.20150920
visualstudio2013-modelingsdk 1.0.0
VisualStudio2013Premium 12.0.40629.20150920
VisualStudio2013Professional 12.0.40629.20150920
visualstudio2013-sdk 1.0.0
VisualStudio2013TeamExplorer 12.0.21005.1
VisualStudio2013TestProfessional 12.0.21005.20150920
VisualStudio2013Ultimate 12.0.40629.20150920
visualstudio2013-update1 1.0.4
visualstudio2013-update2 1.0.5
visualstudio2013-update3 1.0.2
visualstudio2013-webessentials.vsix 1.0.1
VisualStudio2015Community 14.0.23107.0
VisualStudioCode 0.9.2
VisualStudioCommunity2013 12.0.21005.1
VisualStudioExpress2008 9.0
VisualStudioExpress2012TeamExplorer 11.0.0.1
VisualStudioExpress2012TFS 11.0.0.1
VisualStudioExpress2012Web 11.0.1
VisualStudioExpress2012Windows8 11.0.0.1
VisualStudioExpress2012WindowsPhone 11.0.0.1
VisualStudioExpress2013Windows 12.0.21005.1
VisualStudioExpress2013WindowsDesktop 12.0.21005.1
VisualStudioTeamFoundationServerExpress2013 12.0.21005.1
VisualStudioTFSExpress2012 1.1.3
visualsubst 1.0.6
visualsvn 4.0.9
visualsvnserver 3.0.0
vlc 2.2.1.20150630
vlmc 0.1.0
vmware-horizon-client 3.3.0
vmwareplayer 7.0.0
vmware-tools 9.4.11
vmwarevsphereclient 5.5.0
vmwareworkstation 11.1.2.2780323
volume2 1.1.3.247
volume2.install 1.1.3.247
volume2.portable 1.1.3.247
vp8-vfw 1.2.0
VS2010.ShellIntegratedRedist 10.0.30319.2
VS2010SDK 1.0
VS2012.4 11.0.61030.0
VS2012.ShellIntegratedRedist 1.0
VS2012.ShellIsolatedRedist 1.0
VS2012SDK 1.0
VS2013.1 1.0.0
VS2013.2 1.0.1
VS2013.3 1.0.2
VS2013.4 1.0.0
VS2013.PowerTools 30129.00.1
VS2013.RemoteTools.Update1 1.0
VS2013.ShellIntegratedRedist 1.0
VS2013.ShellIsolatedRedist 1.0.1
VS2013.VSCommands 12.3.0.6
VS2013Agents 1.5.9
vs2013classicmenucasing 1.0.1
VS2013RemoteTools 12.0.31101.0
VS2013SDK 1.0
VSColorOutput 1.4.3
vscommands2012 1.1
vuzeclient 1.11.1
vvvv 29.2
vvvv.x64 29.2.1
vvvv.x86 29.2.1
vvvv-addonpack 29.2
vvvv-addonpack.x64 29.2
vvvv-addonpack.x86 29.2
wamp-server 2.500
warmup 0.6.5.1
wasp 2.5.0.1
wassapp 1.1.1
waterfox 32.0.3
wavesurfer 1.8.84.20141230
wavpack 4.75.0
WAWSDeploy 1.6.0
wcat 6.4.0
WcfService 1.0.0
WcfService1 2.0.0
webdeploy 3.5.2
WebDeploymentProjects2010 10.0.30319.5
webexeditor 29.7.0.1
WebexFF 29.7.1.6
webexie 29.8.5.10049
webexnetworkplayer 2.29.3236
webexplayer 3.29.0.1
WebFlipScreenSaver 0.2.0.1
WebMailConverter 3.1
webmatrix 3.0.0.1
webpi 5.0
webpicmd 7.1.50430.20141001
webpicommandline 7.1.50430.0
WebQueries 1.1
WebStorm 10.0.4
WebWorkbench 0.1
WebWorkbench.install 0.1
Weka 3.6.9.002
wesnoth 1.12
WestwindHtmlHelpBuilder 5.0.148
WestwindWebMonitor 3.50
WestwindWebSurge 1.0
Wget 1.16.3.0
which 1.0
whitebox.portable 3.2.1
widelands 18.0
wifi-manager 0.1
wim2vhd 6.1.7600.3
win2003-mklink 1.6.0.20140724
win32diskimager 0.9.5
win32diskimager.install 0.9.5
winbareos 13.2.2
winbareos.install 13.2.2
wincdemu 3.6.0.20130818
wincheat 1.7.4680.1
wincommandpaste 1.1.0.20150826
wincompose 0.7.2
wincompose.install 0.7.2
wincompose.portable 0.7.2
wincontig 1.35.03
WinCy 1.0.0
WinCyApk 0.0.2
windbg 8.59.20141003
windirstat 1.1.2.20140225
windjview 2.0.2.20130827
windowblinds 8.06.0
windowclippings 3.1.131
windows-adk 8.100.26866.0
WindowsADK 2.0
WindowsADK.All 2.0
WindowsADK.WinPE 2.0
windows-adk-all 8.100.26866.0
windows-adk-winpe 8.100.26866.0
WindowsAzureLibrariesForNet 2.2.20140119
WindowsAzureLibsForNet 2.5
WindowsAzurePowershell 0.9.7
WindowsAzurePowershell_0871 0.8.7.1
WindowsDriverKit 8.1
windowsessentials 16.4.3508.0209
WindowsLiveInstaller 2012.0.0
WindowsLiveMail 2011.0.0
WindowsLiveMesh 2011.0.0
WindowsLiveWriter 2012.0.0.20150823
WindowsPhone8SDK 8.0.0.20140227
windowsphonedevelopertools 1.0
windowsrepair 2.10.2
windows-sdk-10.0 10.0.26624
windows-sdk-6.0 6.1.6000.16384
windows-sdk-6.1 6.0.6001.18000
windows-sdk-7.0 7.0.7600.16385
windows-sdk-7.1 7.1.7600.30514
windows-sdk-8.0 8.59.29750.0
windows-sdk-8.1 8.100.26654.0
windowstelnet 1.0.0
windows-tweaker 5.3.1
windows-tweaker.install 5.3.1
windows-tweaker.portable 5.3.1
WindowsUpdate.DisableAutoRestart 0.0.1
winedt 9.1
winff 1.5.4.20150503
winflexbison 2.4.3.20140715
wingrep 2.3
wings3d 1.5.3
winhotkey 0.70.20150127
WinHttpCertCfg 1.0.0.0
WinImage 9.0
wink 2.0.1060.20120921
winlockless 0.3.20141129
winmerge 2.14.0
winmerge-jp 2.14.0.74
winmute 1.4.2.20140717
win-no-annoy 1.0.2
WinPcap 4.1.3.20141005
winperamdisk 0.0.3
winrar 5.20.1
winscp 5.7.6
winscp.install 5.7.6
winscp.portable 5.7.6
winshot 1.53
winsplit 11.4
WinSplitRevolution 11.04
winsshd 6.44
winsshd.install 6.44
win-sshfs 0.0.1.5
WinVDIG 1.0.5
winvice 2.4.0
win-xkill 1.0.0.20141024
win-youtube-dl 1.1.0
wireedit 0.11.430
wireshark 1.12.8
Wix35 3.5.2519.20130612
wixedit 0.7.5
wixtoolset 3.10.1.2213
wizmouse 1.7.0.3
wkhtmltopdf 0.12.2.20150717
wmisecurity 1.0.0.121620131
wnetwatcher 1.80
wnetwatcher.install 1.80
Wolfpack 3.0.17
Word.Viewer 12.0.6219.1000
wordcontentcontroltoolkit 1.3
WordViewer 1.0.1
workcad 2.0.0.35
workrave 1.10.1.4
wot 1.12.2014
wox 1.1.1
wpfinspector 0.9.9
wp-project-screen 1.0.0.1
wput 0.0.6
wsus-offline-update 9.6
wtw 1.2.0.4424
wubi 12.04.20120921
wudt 1.0.30.1
wuinstall 2.0.0.09172055
wuinstall.run 1.0.0.2014040406
wunderlist 3.2.1
wxpython 3.0.0.0
wxwidgets 3.0.2
x2go 4.0.3.0
x64-unfixer 1.5.0.0
Xamarin 5.2.1.2014082501
xamarin-studio 5.5.2.2014102200
xamarin-visualstudio 3.9.547.2015042300
xbmc 13.2
xbox360-controller 1.200
xbox-one-controller 1.0.0.0
xCmd 1.12.0
xdelta3 3.0.8.0
XenuLinkSleuth 1.3.8
xfinder 11.11
xiphqt 0.1.5
xmind 3.3.1.1
Xming 6.9.0.31
XMLConverter 3.1
xml-copy-editor 1.2.1.3
XmlFormatter 1.0.0.1
XmlNotepad 2007.0.0.0
xmlstarlet 1.6.1
xmlstarlet.portable 1.6.1
x-moto 0.5.11
xnews 5.4.25
XnView 2.22
xonotic 0.8.1
xpdf-utils 3.04.0.20141011
xplorer2 2.5.0.4
xplorer2pro 2.5.0.4
xrepo 0.8.2
xsd2code 3.4.0
XSockets.PerformanceCounters 0.1
XSockets.Windows.Service 4.0.0
xtrmruntime 6.0
XUnit 2.0.0
XUnit.VisualStudio 0.99.8.0
xUnit.vs2012 0.9.5
xvst 2.5.2.20141130
xyzzy 0.22.251
yandexdisk 1.0.0.6
yasm 1.2.0
yed 3.14.1
Yeoman 1.1.2
ynote 3.4
you-need-a-budget 4.4.3.729
youtube-dl 2015.11.27.1
yubikey-personalization-tool 3.1.20
yumi 2.0.1.9
z3 4.3.2
zabbix-agent 2.4.4
zadig 2.1.1
zerobrane-studio 1.00
zerobrane-studio.install 1.00
zerobrane-studio.portable 1.00
zetaresourceeditor 2.2.0.11
zim 0.62
zimbra-desktop 7.2.5
znotes 0.4.5
zona 1.0.5.3
zoomit 4.50
zotero-standalone 4.0.28.7
zsnes 1.51
2879 packages found.
lhaca 0.76
Dogtail.DotNet3.5SP1 11.2.13230.2
0ad 0.0.18
1password 4.6.0.592
2gis 3.14.12.0
360ts 5.2.0.1074
7-taskbar-tweaker 4.5.10
7zip 15.11
7zip.install 15.11
7zip.commandline 15.12
arduinoide 1.6.1
bitcoincore 0.9.3.20150401
git-credential-winstore 2.0.0.20151206
githubforwindows 2.13.0.2
mono3 3.2.3.20150323
ncrunch.vs2013 0.0.0.0
nodejs.commandline 5.2.0
npm 1.4.9.20150213
openvpn-community 2.3.6
PidginOtrPlugin 4.0.1.20150816
tdesktop 0.7.20.20150319
WindowsADK.All 2.0
WindowsADK 2.0
WindowsADK.WinPE 2.0
java.jdk 7.0.75.20150520
ServiceControl.install 1.6.3.20151029
techsmithsnagit 12.3.1
PublishedApplications 2.2.0.0
aacgain 1.9.0.2
absolute-uninstaller 5.3.1.20
access-to-mysql 5.2.0.252
acestream 2.3.0.20140918
ack 2.14
activator 1.2.12
adexplorer 1.42
ActivePerl 5.22.0.2200
ActivePerl-EqEmu-x86 5.16.3.1605
artools 0.3.0.0
ardev 0.3.0.0
ActiveTcl 8.6.4.1
ActySystemStyleRule 1.0.0
ad-awarefreeantivirus 11.3.6321.0
awatch 1.05
adblockpluschrome 0.0.0.2
adblockplusfirefox 0.0.0.1
adblockplusie 1.2.0.20140908
adblockplusopera 0.0.0.1
addtopath 1.0
AdFender 1.83
AdobeAIR 15.0.0.249
adobe-creative-cloud 1.0
adobedigitaleditions 4.0.2
pdf-ifilter-64 11.0.01
simnetsa-adobereader-fr 11.0.7
adobereader-de 11.0.10
adobereader 2015.007.20033
adobeshockwaveplayer 12.2.2.172
apm 1.1.0.1
advancedsystemcarefree 8.0.3.20141128
Afedteated 1.24
advancedsystemtweaker 2.0.0.20141128
adwcleaner 5.022
aegisub 3.2.2
aeroadmin.portable 3.0.2037
AESCrypt 3.0.9
ransack 10.0.762
agentransack 7.0.828
VS2013Agents 1.5.9
aida64-business 4.70.3200
aida64-engineer 5.20.3400
aida64-extreme 4.70.3200
aida64extreme 4.60.3100
aida64-networkaudit 4.70.3200
aimp3 3.55.1355
aimp 3.60.1503
alanstevens.vsextensions 1.08
alanstevens.vs2012extensions 1.04
